Clave de ZM,Zona metropolitana
0101,ZM de Aguascalientes
0201,ZM de Ensenada
0202,ZM de Mexicali
0203,ZM de Tijuana
0301,ZM de La Paz
0401,ZM de Campeche
0501,ZM de La Laguna
0502,ZM de Monclova-Frontera
0503,ZM de Piedras Negras
0504,ZM de Saltillo
0601,ZM de Colima-Villa de Álvarez
0602,ZM de Tecomán
0701,ZM de Tapachula
0702,ZM de Tuxtla Gutiérrez
0801,ZM de Chihuahua
0802,ZM de Delicias
0803,ZM de Hidalgo del Parral
0804,ZM de Juárez
0901,ZM del Valle de México
1001,ZM de Durango
1101,ZM de Celaya
1102,ZM de Guanajuato
1103,ZM de León
1104,ZM de Moroleón-Uriangato
1105,ZM de San Francisco del Rincón
1201,ZM de Acapulco
1202,ZM de Chilpancingo
1301,ZM de Pachuca
1302,ZM de Tula
1303,ZM de Tulancingo
1401,ZM de Guadalajara
1402,ZM de Ocotlán
1403,ZM de Puerto Vallarta
1501,ZM de Tianguistenco
1502,ZM de Toluca
1601,ZM de La Piedad-Pénjamo
1602,ZM de Morelia
1603,ZM de Zamora
1701,ZM de Cuautla
1702,ZM de Cuernavaca
1801,ZM de Tepic
1901,ZM de Monterrey
2001,ZM de Oaxaca
2002,ZM de Tehuantepec
2101,ZM de Puebla-Tlaxcala
2102,ZM de Tehuacán
2103,ZM de Teziutlán
2201,ZM de Querétaro
2301,ZM de Cancún
2302,ZM de Chetumal
2401,ZM de Rioverde
2402,ZM de San Luis Potosí
2501,ZM de Culiacán
2502,ZM de Mazatlán
2601,ZM de Guaymas
2602,ZM de Hermosillo
2603,ZM de Nogales
2701,ZM de Villahermosa
2801,ZM de Ciudad Victoria
2802,ZM de Matamoros
2803,ZM de Nuevo Laredo
2804,ZM de Reynosa
2805,ZM de Tampico
2901,ZM de Tlaxcala-Apizaco
3001,ZM de Acayucan
3002,ZM de Coatzacoalcos
3003,ZM de Córdoba
3004,ZM de Minatitlán
3005,ZM de Orizaba
3006,ZM de Poza Rica
3007,ZM de Veracruz
3008,ZM de Xalapa
3101,ZM de Mérida
3201,ZM de Zacatecas-Guadalupe
